NUM;FNAME;GNAME;OCCU;DATE;DATE-UT;TZO;PLACE;CY;C2;GEOID;LG;LAT;NOTES-DATE
54;Blair;Jimmy;sportsperson;1888-05-11 21:00;;;Cuthill;GB;;13269093;-3;55.95;
55;Blanchet;Bernard;sportsperson;1943-12-01 19:15;;;Les Basses Places;FR;44;12312886;-1.16667;47.53333;
56;Blankers-Koen;Fanny;sportsperson;1918-04-26 02:00;;;Baarn;NL;308;2759544;5.26667;52.21667;
57;Boffelli;Victor;sportsperson;1947-03-20 06:00;;;Arques;FR;11;3036802;2.35;42.95;
58;Bollini;Bruno;sportsperson;1933-09-14 19:15;;;Paris 02 Ancien - Quartier Palais-Royal;FR;75;9844889;2.33333;48.86667;
59;Bonal;Jean-Marie;sportsperson;1943-05-31 01:00;;;Les Alouettes;FR;15;12518902;2.43333;44.93333;
60;Bonatti;Walter;sportsperson;1930-06-22 04:00;;;Contea di Bergamo (medievale);IT;BG;12225593;9.66667;45.7;
61;Boninsegna;Roberto;sportsperson;1943-11-13 12:00;;;Mantova;IT;MN;3174051;10.78333;45.16667;
62;Bonnel;Joseph;sportsperson;1939-01-04 06:00;;;Florensac;FR;34;3018231;3.46667;43.38333;
63;Borchmeyer;Erich;sportsperson;1905-01-23 11:15;;;Roman Catholic Diocese of Münster;DE;55;12207112;7.61667;51.96667;
64;Bosquier;Bernard;sportsperson;1942-06-19 23:30;;;Les Thésules;FR;74;12318380;6.5;46.36667;
65;Botherel;Jacques;sportsperson;1946-12-01 22:45;;;Kerisper;FR;56;12306167;-3.03333;47.6;
66;Bouttier;Jean-Claude;sportsperson;1944-10-13 11:00;;;La Feuillée;FR;53;3009470;-1.01667;48.11667;
67;Gordon Hutton;Bremner;sportsperson;1917-11-12 03:30;;;Possil Park;GB;;13273048;-4.25;55.88333;
68;Broissard;José;sportsperson;1947-02-20 05:00;;;Ravenel;FR;60;2984345;2.5;49.51667;
69;Brown;Robert;sportsperson;1923-03-19 17:30;;;Arnothill;GB;;13268092;-3.8;56;
70;Buchan;Martin;sportsperson;1949-03-06 15:00;;;Seaton;GB;;13269589;-2.06667;57.16667;
71;Buchanan;Ken;sportsperson;1945-06-28 04:25;;;West End;GB;U8;7644906;-3.21667;55.95;
72;Budzynski;Robert;sportsperson;1940-05-21 04:00;;;Houdain;FR;62;3013122;2.53333;50.45;
73;Buffet;Marcel;sportsperson;1922-05-14 03:30;;;Achicourt;FR;62;3038703;2.76667;50.28333;
74;Burgnich;Tarcisio;sportsperson;1939-04-25 12:00;;;Udine;IT;UD;3165072;13.23333;46.06667;
75;Burny;Jean-Pierre;sportsperson;1944-11-12 04:00;;;Mont-Saint-Guibert;BE;WBR;2790756;4.61667;50.63333;
76;Buron;Jean-Louis;sportsperson;1934-04-04 09:00;;;Bacqueville-en-Caux;FR;76;3035471;1;49.78333;
77;Burruni;Salvatore;sportsperson;1933-04-11 03:00;;;Alghero;IT;SS;3183284;8.31667;40.56667;
78;Burtshell;Patrick;sportsperson;1946-09-22 02:30;;;La Madeleine;FR;59;3008379;3.08333;50.65;
79;Busby;Matthew;sportsperson;1909-05-26 03:50;;;Kirkfieldbank;GB;W5;11592452;-3.8;55.68333;
80;Cabanier;Jean-Michel;sportsperson;1936-05-13 17:20;;;La Barrière;FR;82;12312608;1.46667;44.25;
81;Cachemire;Jacques;sportsperson;1947-02-27 09:35;;;Darboussier;GP;971;3579442;-61.53333;16.23333;
82;Cahuzac;Pierre;sportsperson;1927-07-03 02:00;;;Saint-Pons-de-Thomières;FR;34;2977382;2.75;43.48333;
83;Camberabero;Guy;sportsperson;1936-05-17 08:00;;;La Rue Doncanville;FR;50;12311981;-1.3;49.65;
84;Camerini;Francis;sportsperson;1948-01-25 02:40;;;Madrague de la Ville;FR;13;2996839;5.36667;43.3;
85;Campaes;André;sportsperson;1944-03-30 08:00;;;Lourdes;FR;65;2997395;-0.03333;43.1;
86;Cantoni;Jack;sportsperson;1948-05-11 02:00;;;La Grillatié;FR;81;12316469;2.15;44.05;
87;Capdouze;Jean;sportsperson;1942-08-30 17:30;;;Saint-Jacques;FR;64;2979428;-0.91667;43.46667;
88;Caracciola;Rudolf;sportsperson;1901-01-30 15:30;;;Remagen;DE;0;2848335;7.23333;50.56667;
89;Cardet;Louis;sportsperson;1943-06-20 23:15;;;Quimperlé;FR;29;2984699;-3.55;47.86667;
90;Carite;Jean-Pierre;sportsperson;1945-11-12 21:45;;;Livry-Gargan;FR;93;2998056;2.55;48.91667;
91;Carnera;Primo;sportsperson;1906-10-25 14:00;;;Sequals;IT;PN;3166718;12.83333;46.16667;
