NUM;FNAME;GNAME;OCCU;DATE;DATE-UT;TZO;PLACE;CY;C2;GEOID;LG;LAT;NOTES-DATE
239;Lanfranchi;Serge;sportsperson;1925-09-28 16:00;;;Parma;IT;PR;3171457;10.31667;44.8;
240;Larque;Jean-Michel;sportsperson;1947-09-08 23:00;;;Pau;FR;64;2988358;-0.36667;43.3;
241;Lasserre;Michel;sportsperson;1940-11-29 11:00;;;Beaumont-de-Lomagne;FR;82;3034170;0.98333;43.88333;
242;Lauer;Martin;sportsperson;1937-01-02 07:30;;;Humboldtkolonie;DE;53;2897732;7;50.93333;
243;Lavaud;Jean-Claude;sportsperson;1938-05-18 05:30;;;Orléans;FR;45;2989317;1.9;47.9;
244;Law;Denis;sportsperson;1940-02-24 22:50;;;Seaton;GB;;13269589;-2.06667;57.16667;
245;Lech;Georges;sportsperson;1945-06-02 05:00;;;Hénin-Beaumont;FR;62;3013525;2.96667;50.41667;
246;Lechantre;Jean;sportsperson;1922-02-13 15:00;;;Taintignies;BE;WHT;2785845;3.35;50.55;
247;Le Chenadec;Gilbert;sportsperson;1938-07-13 06:00;;;Languidic;FR;56;3007663;-3.15;47.83333;
248;Lecompte;Jean-Pierre;sportsperson;1941-06-26 17:30;;;Lestrade;FR;23;2999463;1.73333;45.88333;
249;Lemaitre;Robert;sportsperson;1929-03-07 17:30;;;Plancoët;FR;22;2986894;-2.23333;48.53333;
250;Leman;Eric;sportsperson;1946-07-17 05:00;;;Dadizelehoek;BE;VWV;2799907;3.11667;50.85;
251;Lemerre;Roger;sportsperson;1941-06-18 03:00;;;Bricquebec;FR;50;3030120;-1.63333;49.46667;
252;Lira;Maurice;sportsperson;1941-04-30 03:00;;;Cognet;FR;38;3024430;5.78333;44.88333;
253;Loncle;Marcel;sportsperson;1936-01-05 16:00;;;Moka;FR;35;8531767;-2;48.65;
254;Longo;Renato;sportsperson;1937-08-09 16:00;;;Vittorio Veneto;IT;TV;3164028;12.3;45.98333;
255;Lopopolo;Sandro;sportsperson;1939-12-18 12:15;;;San Babila;IT;MI;12022987;9.2;45.46667;
256;Lorimer;Peter;sportsperson;1946-12-14 11:10;;;Lochee;GB;;13268895;-3;56.46667;
257;Loubet;Charly;sportsperson;1946-01-21 03:30;;;Grasse;FR;6;3014856;6.93333;43.66667;
258;Louis;Xerces;sportsperson;1926-10-31 24:00;;;Union;MQ;;11599262;-61;14.78333;
259;Luciano;Jean;sportsperson;1921-01-02 10:00;;;Nice;FR;6;2990440;7.26667;43.7;
260;Lux;Jean-pierre;sportsperson;1946-01-09 19:00;;;Dax;FR;40;3021670;-1.05;43.71667;
261;Lynch;Benny;sportsperson;1913-04-02 21:45;;;Possil Park;GB;;13273048;-4.25;55.88333;
262;Macchi;Françoise;sportsperson;1951-07-12 07:00;;;Ségny;FR;1;2975326;6.08333;46.28333;
263;Mackay;Dave;sportsperson;1934-11-14 06:00;;;West End;GB;U8;7644906;-3.21667;55.95;
264;Macdonald;Malcom;sportsperson;1913-10-26 12:00;;;Possil Park;GB;;13273048;-4.25;55.88333;
265;Mc Calliog;Jim;sportsperson;1946-09-23 13:00;;;Possil Park;GB;;13273048;-4.25;55.88333;
266;Mc Cormick;John;sportsperson;1936-07-18 02:30;;;Possil Park;GB;;13273048;-4.25;55.88333;
267;Mc Creadie;Eddie;sportsperson;1940-04-15 17:20;;;Possil Park;GB;;13273048;-4.25;55.88333;
268;Mc Govern;John;sportsperson;1949-10-28 09:00;;;Montrose;GB;T7;2642302;-2.48333;56.71667;
269;Mc Gowan;Walter;sportsperson;1942-10-13 21:45;;;Kirkfieldbank;GB;W5;11592452;-3.8;55.68333;
270;Madubost;Jacques;sportsperson;1944-06-06 17:00;;;Sonville;FR;28;2974237;1.28333;48.21667;
271;Magerl;Hermann;sportsperson;1949-01-13 06:00;;;Embach;DE;93;2930608;12.18333;48.95;
272;Magnan;Jean-Claude;sportsperson;1941-06-04 16:00;;;Les Passons;FR;13;12314515;5.58333;43.28333;
273;Mandonnaud;Claude;sportsperson;1950-04-02 04:15;;;Limoges;FR;87;2998286;1.25;45.83333;
274;Manzaneque;Fernando;sportsperson;1934-02-04 20:00;;;Campo de Criptana;ES;CR;2520413;-3.11667;39.41667;
275;Marsolan;Serge;sportsperson;1945-04-22 05:00;;;Lombez;FR;32;2997812;0.9;43.48333;
276;Martinez;Mariano;sportsperson;1948-09-20 16:00;;;Gamonal;ES;BU;3121663;-3.68333;42.35;
277;Masnaghetti;Serge;sportsperson;1934-04-15 20:30;;;Briey;FR;54;3030071;5.95;49.25;
278;Maso;Joseph;sportsperson;1944-12-27 12:00;;;Jolimont;FR;31;12319116;1.46667;43.61667;
279;Maspes;Antonio;sportsperson;1932-01-14 00:30;;;San Babila;IT;MI;12022987;9.2;45.46667;
280;Mauduit;Georges;sportsperson;1940-12-03 10:25;;;Chambéry;FR;73;3027422;5.91667;45.56667;
281;Maury;Serge;sportsperson;1946-07-24 16:00;;;Bordeaux;FR;33;3031582;-0.56667;44.83333;
282;Mazard;Hervé;sportsperson;1943-12-18 08:00;;;Lézignan-Corbières;FR;11;2998644;2.76667;43.2;
283;Mazzinghi;Sandro;sportsperson;1938-10-03 01:30;;;Pontedera;IT;PI;3170272;10.63333;43.66667;
284;Menetrey;Roger;sportsperson;1945-06-16 19:00;;;Étrembières;FR;74;3019364;6.23333;46.18333;
285;Messina;Guido;sportsperson;1931-01-04 12:00;;;Monreale;IT;PA;2524085;13.28333;38.08333;
286;Mezy;Michel;sportsperson;1948-08-01 23:45;;;Aigues-Mortes;FR;30;3038493;4.18333;43.56667;
287;Michel;Henri;sportsperson;1947-10-28 04:00;;;Cuques;FR;13;12314457;5.45;43.51667;
288;Michelin;Pierre;sportsperson;1937-01-07 17:00;;;Tourcoing;FR;59;2972284;3.16667;50.73333;
289;Mildenberger;Karl;sportsperson;1937-11-23 12:45;;;Kaiserslautern;DE;0;2894003;7.78333;49.45;
290;Mindonnet;Roger;sportsperson;1924-12-24 01:00;;;Châteauroux;FR;36;3026204;1.68333;46.81667;
291;Mitoraj;Roland;sportsperson;1940-02-05 19:15;;;Faubourg d'Auron;FR;18;12310518;2.38333;47.08333;
292;Mir;Isabelle;sportsperson;1949-03-02 20:00;;;Tramezaïgues;FR;65;2972076;0.3;42.8;
293;Molinier;Michel;sportsperson;1947-05-28 10:00;;;Mézérac;FR;12;12317865;2.91667;44.36667;
294;Molitor;Marc;sportsperson;1948-09-21 11:10;;;Strasbourg;FR;67;2973783;7.75;48.58333;
295;Moncur;Bob;sportsperson;1945-01-19 06:50;;;Letham;GB;;13268593;-3.46667;56.4;
296;Monsere;Jean-Pierre;sportsperson;1948-09-08 23:30;;;Zuidhoek;BE;VWV;2783160;3.13333;50.95;
297;Monti;Eugenio;sportsperson;1928-01-23 11:00;;;Toblach;IT;BZ;3177571;12.23333;46.73333;
298;Morale;Salvator;sportsperson;1938-11-04 01:00;;;Padua;IT;PD;3171728;11.88333;45.4;
299;Morelon;Daniel;sportsperson;1944-07-24 22:45;;;Bourg-en-Bresse;FR;1;3031009;5.21667;46.2;
300;Mosconi;Alain;sportsperson;1949-09-09 06:00;;;Puteaux;FR;92;2985034;2.25;48.88333;
301;Moser;Francesco;sportsperson;1951-06-19 01:00;;;Tassaineri;IT;TN;8984088;11.36667;46.13333;
302;Motta;Gianni;sportsperson;1943-03-13 06:15;;;Cassano d'Adda;IT;MI;3179795;9.51667;45.53333;
303;Mouyal;Armand;sportsperson;1925-10-13 05:30;;;Courbet;DZ;;2501133;-0.63333;35.75;
304;Munari;Sandro;sportsperson;1940-03-27 06:30;;;Cavarzere;IT;VE;3179294;12.08333;45.13333;
305;Nallet;Jean-Claude;sportsperson;1947-03-15 05:30;;;Brénod;FR;1;3030343;5.6;46.05;
306;Nijdam;Hendrik;sportsperson;1935-09-26 02:30;;;Haren;NL;14;2754841;6.6;53.16667;
307;Nita;André;sportsperson;1949-09-05 06:00;;;Manosque;FR;4;2996180;5.78333;43.83333;
308;Norpoth;Harald;sportsperson;1942-08-22 11:00;;;Roman Catholic Diocese of Münster;DE;55;12207112;7.61667;51.96667;
309;Novi;Jacky;sportsperson;1946-07-18 10:00;;;Bellegarde;FR;30;3033698;4.5;43.75;
310;Ocana;Luis;sportsperson;1945-06-09 21:30;;;Priego;ES;CU;3112841;-2.31667;40.43333;
311;Okker;Tom;sportsperson;1944-02-22 18:20;;;Weesperzijde;NL;363;7648382;4.9;52.35;
312;Ostemeyer;Micheline;sportsperson;1922-12-23 03:00;;;Montreuil-sur-Mer;FR;62;2992061;1.76667;50.46667;
313;Ottenbros;Harmin;sportsperson;1943-06-27 12:00;;;De Hoef;NL;361;2757538;4.73333;52.63333;
314;Ottolina;Sergio;sportsperson;1942-11-23 14:00;;;San Babila;IT;MI;12022987;9.2;45.46667;
315;Ottoz;Eddy;sportsperson;1944-06-03 21:40;;;Cannes;FR;6;3028808;7;43.55;
316;Ovion;Régis;sportsperson;1949-03-03 15:30;;;Vigneux-sur-Seine;FR;91;2969109;2.41667;48.7;
317;Pambianco;Arnaldo;sportsperson;1935-08-16 08:05;;;Santa Maria di Urano;IT;FC;3214802;12.11667;44.15;
318;Paterson;George;sportsperson;1914-09-26 02:50;;;Rosebank;GB;;13268239;-3.91667;56.03333;
319;Peelman;Eddy;sportsperson;1947-08-08 21:00;;;Baasrode;BE;VOV;2802812;4.16667;51.03333;
320;Pellerin;Daniel;sportsperson;1941-10-30 17:10;;;Saint-Clément;FR;76;12494769;1.08333;49.43333;
321;Pera;Patrick;sportsperson;1949-01-17 09:00;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
322;Perez-Frances;José;sportsperson;1936-12-27 11:00;;;Santander;ES;S;3109718;-3.8;43.46667;
323;Peyroche;Georges;sportsperson;1937-01-27 00:15;;;La Pauzière;FR;42;3007418;4.33333;45.4;
324;Phillip;Iain;sportsperson;1951-02-14 08:35;;;Lochee;GB;;13268895;-3;56.46667;
325;Pieters-Graafland;Eddy;sportsperson;1934-01-05 15:00;;;Oud Zuid;NL;363;7648383;4.88333;52.35;
326;Piumi;Jean-Claude;sportsperson;1940-05-27 08:00;;;Conflans-en-Jarnisy;FR;54;3023925;5.85;49.16667;
327;Plantefol;Alain;sportsperson;1942-12-26 06:45;;;Les Champs Philippe;FR;92;12306370;2.23333;48.91667;
328;Prati;Pierino;sportsperson;1943-12-13 09:50;;;San Babila;IT;MI;12022987;9.2;45.46667;
329;Proost;Leo;sportsperson;1933-11-01 14:00;;;Oud-Turnhout;BE;VAN;2789483;4.98333;51.31667;
330;Provelli;Louis;sportsperson;1939-04-21 13:30;;;Saint-Max;FR;54;2978105;6.2;48.7;
331;Puttemans;Emiel;sportsperson;1947-10-08 11:00;;;Vossem;BE;VBR;2784345;4.56667;50.83333;
332;Queen;Gerry;sportsperson;1945-01-15 12:50;;;Possil Park;GB;;13273048;-4.25;55.88333;
333;Quittet;Claude;sportsperson;1941-03-12 07:00;;;Mathay;FR;25;2995189;6.78333;47.43333;
334;Rat;Michem;sportsperson;1937-03-16 01:00;;;Auvers-sur-Oise;FR;95;3035864;2.16667;49.08333;
335;Rebillard;Daniel;sportsperson;1948-12-20 01:00;;;Tournan-en-Brie;FR;77;2972253;2.76667;48.73333;
336;Rebuffat;Gaston;sportsperson;1921-05-07 08:00;;;Madrague de la Ville;FR;13;2996839;5.36667;43.3;
337;Reding;Serge;sportsperson;1941-12-23 05:00;;;Louise area;BE;BRU;11395785;4.35;50.83333;
338;Revelli;Hervé;sportsperson;1946-10-05 19:00;;;Faubourg Pavé;FR;55;12318312;5.4;49.16667;
339;Revenu;Daniel;sportsperson;1942-12-05 10:00;;;Chinault;FR;36;3025138;1.98333;46.95;
340;Rey;Henri;sportsperson;1932-06-27 09:00;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
341;Richard;Michel;sportsperson;1945-10-05 06:45;;;Le Clos Langlois;FR;94;12307060;2.38333;48.78333;
342;Richard;René;sportsperson;1942-11-06 13:50;;;Le Clos Langlois;FR;94;12307060;2.38333;48.78333;
343;Rivera;Gianni;sportsperson;1943-08-18 12:45;;;Alessandria;IT;AL;3183299;8.61667;44.91667;
344;Robert;Joel;sportsperson;1943-11-24 20:00;;;Sivry;BE;WHT;2786529;4.18333;50.16667;
345;Robertson;Lawson;sportsperson;1883-09-23 09:00;;;Seaton;GB;;13269589;-2.06667;57.16667;
346;Robin;Claude;sportsperson;1941-05-10 06:30;;;Les Sables-d'Olonne;FR;85;2999683;-1.78333;46.5;
347;Robuschi;Laurent;sportsperson;1935-11-05 06:00;;;Nice;FR;6;2990440;7.26667;43.7;
348;Rodighiero;Daniel;sportsperson;1940-09-20 04:45;;;Saint-Cloud;FR;92;2981041;2.2;48.85;
349;Rodzig;Bruno;sportsperson;1935-05-29 04:30;;;Conflans-en-Jarnisy;FR;54;3023925;5.85;49.16667;
350;Roque;René;sportsperson;1941-10-15 14:00;;;Clavières;FR;30;12306179;4.08333;44.13333;
351;Rosato;Roberto;sportsperson;1943-08-18 00:50;;;Chieri;IT;TO;3178818;7.81667;45.01667;
352;Rosi;Paolo;sportsperson;1928-01-30 08:00;;;Rieti;IT;RI;3169412;12.85;42.4;
353;Rosiers;Roger;sportsperson;1946-11-26 13:30;;;Millegem;BE;VAN;2791167;4.55;51.18333;
354;Rostagni;Jean-Paul;sportsperson;1948-01-14 14:15;;;La Plana;FR;6;12319219;7.31667;43.75;
355;Rozier;Marcel;sportsperson;1936-03-22 08:00;;;Thoissey;FR;1;2972772;4.8;46.16667;
356;Ruiz;Bernardo;sportsperson;1925-01-08 11:00;;;Orihuela;ES;A;2513076;-0.93333;38.08333;
357;Ruminski;César;sportsperson;1924-06-13 19:30;;;Douai;FR;59;3021000;3.08333;50.36667;
358;Rupert;Jean-Joseph;sportsperson;1938-03-07 17:00;;;Saint-Jean-de-Marsacq;FR;40;2979305;-1.25;43.63333;
359;Russel;Patrick;sportsperson;1946-12-22 20:45;;;Les Moussoux;FR;74;12318596;6.86667;45.91667;
360;Sabatie;Christian;sportsperson;1941-06-20 04:00;;;Sainte-Livrade-sur-Lot;FR;47;2980519;0.6;44.4;
361;Sainte-Rose;Robert;sportsperson;1943-07-05 09:00;;;Bellevue;MQ;;3570086;-61.08333;14.6;
362;Saisset;Olivier;sportsperson;1949-06-07 23:00;;;Saint-Gervais-sur-Mare;FR;34;2979694;3.03333;43.65;
363;Sauthier;Jean-Paul;sportsperson;1942-05-27 16:00;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
364;Scheuring;Jacob;sportsperson;1912-10-29 04:00;;;Odenheim;DE;82;2858124;8.76667;49.16667;
365;Schiermeyer;René;sportsperson;1938-09-27 02:40;;;Sand;FR;67;12315898;7.46667;48.26667;
366;Schiprowski;Claus;sportsperson;1942-12-27 06:00;;;Feldmark;DE;55;11609477;7.08333;51.5;
367;Schmit;Ady;sportsperson;1940-08-17 01:00;;;Pfaffenthal;LU;2960317;2960182;6.13333;49.61667;
368;Schnellinger;Karl-Heinz;sportsperson;1939-03-31 06:30;;;Düren;DE;53;2934486;6.5;50.8;
369;Schol;Alain;sportsperson;1944-07-20 09:00;;;Darboussier;GP;971;3579442;-61.53333;16.23333;
370;Shuiten;Roy;sportsperson;1950-12-16 07:05;;;Weesperzijde;NL;363;7648382;4.9;52.35;
371;Schutz;Eddy;sportsperson;1941-05-15 14:00;;;Italien;LU;3;2960411;6.08333;49.46667;
372;Sczepaniak;Robert;sportsperson;1942-04-04 16:30;;;Le Gua;FR;12;3003895;2.26667;44.51667;
373;Seeler;Uwe;sportsperson;1936-11-05 11:00;;;Hamburg-Altstadt;DE;0;2956829;10;53.55;
374;Senoner;Carlo;sportsperson;1943-10-24 20:00;;;Merch-Linacia;IT;BZ;8975152;11.78333;46.55;
375;Siatka;Robert;sportsperson;1934-06-20 23:00;;;Le Martinet;FR;30;3003581;4.08333;44.25;
376;Silvestro;Jean-Louis;sportsperson;1939-09-24 15:00;;;Nice;FR;6;2990440;7.26667;43.7;
377;Simon;Jacques;sportsperson;1941-03-20 10:00;;;Omonville-la-Rogue;FR;50;2989538;-1.85;49.71667;
378;Sitjar;Michel;sportsperson;1942-09-13 14:00;;;Matabiau;FR;31;12319114;1.45;43.61667;
379;Skrela;Jean-Claude;sportsperson;1949-10-01 22:00;;;Matabiau;FR;31;12319114;1.45;43.61667;
380;Smith;James;sportsperson;1911-09-24 22:55;;;Jawcraig;GB;;13282988;-3.85;55.95;
381;Soler;Angelino;sportsperson;1938-11-05 11:00;;;Campanar;ES;V;2520457;-0.4;39.48333;
382;Spanghero;Claude;sportsperson;1948-06-05 18:00;;;Salles-sur-l'Hers;FR;11;2976359;1.76667;43.3;
383;Spanghero;Walter;sportsperson;1943-12-21 17:00;;;Salles-sur-l'Hers;FR;11;2976359;1.76667;43.3;
384;Steurer;Florence;sportsperson;1949-11-01 23:30;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
385;Stommelen;Rolf;sportsperson;1943-07-11 02:15;;;Siegen;DE;59;2832495;8.03333;50.86667;
386;Stopyra;Julien;sportsperson;1933-01-10 08:00;;;Montceau-les-Mines;FR;71;2992863;4.38333;46.66667;
387;Suaudeau;Jean-Claude;sportsperson;1938-05-24 11:00;;;Cholet;FR;49;3025053;-0.88333;47.06667;
388;Swerts;Roger;sportsperson;1942-12-28 16:00;;;Heusden;BE;VLI;2795800;5.28333;51.03333;
389;Tabarly;Eric;sportsperson;1931-07-24 10:00;;;Les Dervallières;FR;44;12312959;-1.58333;47.23333;
390;Talbourdet;Georges;sportsperson;1951-12-05 10:30;;;Le Val;FR;22;2999008;-2.45;48.63333;
391;Taylor;Tony;sportsperson;1946-09-06 08:00;;;Possil Park;GB;;13273048;-4.25;55.88333;
392;Theilliere;Jean-Claude;sportsperson;1944-05-23 15:00;;;Fontgiève;FR;63;12323730;3.08333;45.78333;
393;Teirlinck;Willy;sportsperson;1948-08-10 18:00;;;Teralfene;BE;VBR;2785736;4.1;50.88333;
394;Tenet;Edouard;sportsperson;1907-07-07 07:00;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
395;Terme;Aimé;sportsperson;1945-09-25 13:15;;;Le Ricard;FR;30;12320755;4.03333;44.21667;
396;Theo(Skudlapski;Theo);sportsperson;1935-11-17 19:00;;;Quartier de La République;FR;62;12323882;2.83333;50.38333;
397;Thevenet;Bernard;sportsperson;1948-01-10 12:00;;;Changy;FR;71;3026931;4.23333;46.43333;
398;Trentin;Pierre;sportsperson;1944-05-15 03:00;;;Le Mont Mesly;FR;94;12307062;2.46667;48.78333;
399;Trillo;Jean;sportsperson;1944-10-27 19:00;;;Condom;FR;32;3023943;0.38333;43.96667;
400;Ulma;Amboise;sportsperson;1921-11-29 04:00;;;Alénya;FR;66;3038226;2.98333;42.65;
401;Urtain;José Manuel;sportsperson;1943-05-14 22:00;;;Iraeta;ES;SS;3120340;-2.25;43.25;
402;Vanconingsloo;Georges;sportsperson;1940-10-27 08:30;;;Aisémont;BE;WBR;2803319;4.61667;50.71667;
403;Van Impe;Lucien;sportsperson;1946-10-20 04:30;;;Cauwenberg;BE;VOV;2800617;3.96667;50.91667;
404;Van Linden;Rik;sportsperson;1949-07-28 03:00;;;Duivelshoek;BE;VAN;2799066;4.38333;51.16667;
405;Van Tygem;Noel;sportsperson;1947-10-09 14:15;;;Langemark;BE;VWV;2793392;2.91667;50.91667;
406;Vaquerin;Armand;sportsperson;1951-02-21 17:00;;;Sévérac Gare;FR;12;12306076;3.06667;44.33333;
407;Varangeot;Brigitte;sportsperson;1940-05-01 08:30;;;Biarritz;FR;64;3032797;-1.55;43.48333;
408;Verge;Louis;sportsperson;1938-10-06 12:00;;;Carcassonne;FR;11;3028641;2.35;43.21667;
409;Vernet;Georges;sportsperson;1905-11-16 06:00;;;Vézénobres;FR;30;2969474;4.13333;44.05;
410;Verove;Yves-Marie;sportsperson;1949-10-22 06:30;;;Grand-Fort-Philippe;FR;59;3015126;2.1;51;
411;Vianelli;Franco;sportsperson;1946-10-20 10:00;;;Area Produttiva Nulli;IT;BS;8985124;10.05;45.65;
412;Vicentini;Flaviano;sportsperson;1942-06-21 10:30;;;Calcari;IT;VR;8969095;11.01667;45.53333;
413;Villain;Jean-Paul;sportsperson;1946-11-01 09:30;;;Dieppe;FR;76;3021411;1.08333;49.91667;
414;Villepreux;Pierre;sportsperson;1943-07-05 08:00;;;Arnac-Pompadour;FR;19;2986390;1.38333;45.4;
415;De Vlaeminck;Roger;sportsperson;1947-08-24 13:45;;;Eeklo;BE;VOV;2798987;3.56667;51.18333;
416;Voron;Maurice;sportsperson;1928-10-12 18:00;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
417;Vuarnet;Jean;sportsperson;1933-01-18 19:50;;;Les Berges du Lac;TN;1159;12277028;10.21667;36.83333;
418;Wadoux;Jean;sportsperson;1942-01-29 13:30;;;Saint-Pol-sur-Ternoise;FR;62;2977387;2.33333;50.38333;
419;Wagtmans;Marinus;sportsperson;1946-12-26 14:30;;;Rucphen;NL;840;2747858;4.56667;51.53333;
420;Walter;Fritz;sportsperson;1920-10-31 21:15;;;Kaiserslautern;DE;0;2894003;7.78333;49.45;
421;Watteau;Michel;sportsperson;1945-10-11 19:10;;;Roubaix;FR;59;2982681;3.16667;50.7;
422;Wilson;Ray;sportsperson;1947-04-08 04:45;;;Torbrex;GB;;13268103;-3.95;56.11667;
423;Windal;Claude;sportsperson;1939-09-02 05:00;;;Dinard;FR;35;3021351;-2.05;48.63333;
424;Winkler;Hans Günter;sportsperson;1926-07-24 04:30;;;Elberfeld;DE;51;2931276;7.16667;51.25;
425;Wolfermann;Klaus;sportsperson;1946-03-31 14:15;;;Altdorf bei Nürnberg;DE;95;2958024;11.36667;49.38333;
426;Wolfshohl;Rolf;sportsperson;1938-12-27 04:00;;;Humboldtkolonie;DE;53;2897732;7;50.93333;
427;Wooldridge-shaw;Winnie;sportsperson;1947-01-18 10:15;;;Possil Park;GB;;13273048;-4.25;55.88333;
428;Yachvili;Michel;sportsperson;1946-09-25 14:00;;;Le Pra Limouzi;FR;19;12321072;1.76667;45.26667;
429;Zamora;Ricardo;sportsperson;1901-02-14 06:00;;;Horta-Guinardó;ES;B;6544103;2.16667;41.41667;
430;Zilioli;Italo;sportsperson;1941-09-24 04:00;;;Crocetta;IT;TO;11288635;7.66667;45.06667;
431;Zimmerer;Wolfgang;sportsperson;1940-11-15 22:06;;;Garmisch;DE;91;2922532;11.08333;47.5;
432;Zoetemelk;Gerardus;sportsperson;1946-12-03 17:15;;;Bomen- en Bloemenbuurt;NL;518;11525080;4.26667;52.08333;
433;Baratelli;Dominique;sportsperson;1938-12-05 14:15;;;Celio;IT;RM;6545160;12.5;41.88333;
434;Bettini;Fabio;sportsperson;1943-03-13 08:00;;;Celio;IT;RM;6545160;12.5;41.88333;
435;Desisti;Giancarlo;sportsperson;1940-11-13 03:00;;;Celio;IT;RM;6545160;12.5;41.88333;
436;Esteve;Vincent;sportsperson;1943-09-04 03:15;;;Celio;IT;RM;6545160;12.5;41.88333;
437;Frinolli;Roberto;sportsperson;1924-07-29 08:07;;;Celio;IT;RM;6545160;12.5;41.88333;
438;Gentile;Giuseppe;sportsperson;1930-01-12 16:30;;;Roches Noires;MA;141;2537994;-7.58333;33.65;
439;Gottvalles;Alain;sportsperson;1931-07-05 01:00;;;Roches Noires;MA;141;2537994;-7.58333;33.65;
440;Guittet;Jack;sportsperson;1942-03-22 10:00;;;Roches Noires;MA;141;2537994;-7.58333;33.65;
441;Jodar;Jean-François;sportsperson;1936-09-22 21:30;;;Roches Noires;MA;141;2537994;-7.58333;33.65;
442;Jouve;Roger-Louis;sportsperson;1945-07-21 10:00;;;Douar Ejjamaa;MA;61;10976328;-5.61667;33.88333;
443;Musso;Luigi;sportsperson;1947-12-26 07:00;;;Nice;FR;6;2990440;7.26667;43.7;
444;Nadi;Nedo;sportsperson;1949-12-02 06:00;;;Montereau-Fault-Yonne;FR;77;2992671;2.95;48.38333;
445;Pelissard;Nicole;sportsperson;1949-03-11 14:15;;;Madrague de la Ville;FR;13;2996839;5.36667;43.3;
446;Peri;Robert;sportsperson;1941-01-20 12:30;;;Madrague de la Ville;FR;13;2996839;5.36667;43.3;
447;Paterni;MLarcel;sportsperson;1950-01-15 02:00;;;Sainte-Anne;GP;971;3578466;-61.38333;16.21667;
448;Tresor;Marius;sportsperson;1948-07-21 14:00;;;Magalas;FR;34;2996823;3.21667;43.46667;
449;Vergnes;Jacques;sportsperson;1893-06-09 08:45;;;Fiume, Bagni;IT;LI;11125838;10.3;43.55;
450;Zoff;Dino;sportsperson;1942-02-28 04:30;;;Gorizia;IT;GO;3175986;13.61667;45.95;
