"NUM","NAME","PRO","DATE","PLACE","COU","COD","LON","LAT",1955
2001,"Gauquelin-A1-2001","RUG","1931-12-31 07:30:00+00:00","BAIXAS","FR",66,"2.91667","42.7",
2002,"Trescases Frederic","RUG","1921-11-20 06:00:00+00:00","ARGELES","FR",66,"2.91667","42.7","570SPO"
2003,"Vannier Michel","RUG","1931-07-27 14:00:00+00:00","ETAIN","FR",55,"5.16667","48.76667",
2004,"Vellat Edmond","RUG","1897-02-14 02:30:40+00:00","CHAMBERY","FR",73,"5.91667","45.56667","570SPO"
2005,"Verdie Gilbert","RUG","1928-06-29 13:00:00+00:00","DECAZEVILLE","FR",12,"2.56667","44.35",
2006,"Verger Andre","RUG","1906-05-28 03:50:40+00:00","LIMOGES","FR",87,"1.25","45.83333",
2007,"Verges Jean","RUG","1934-04-11 19:30:00+00:00","PERPIGNAN","FR",66,"2.91667","42.7",
2008,"Vidal Claude","RUG","1937-04-17 13:30:00+00:00","BEZIERS","FR",34,"3.88333","43.61667",
2009,"Vigier Robert","RUG","1926-12-05 17:00:00+00:00","LANOBRE","FR",15,"2.43333","44.93333",
2010,"Agnel Marisette","SKI","1926-08-28 12:00:00+00:00","CHAMONIX","FR",74,"6.11667","45.9",
2011,"Allais Emile","SKI","1912-02-25 11:00:00+00:00","MEGEVE","FR",74,"6.11667","45.9",
2012,"Bonlieu Francois","SKI","1937-03-21 12:25:00+00:00","JUVINCOURT","FR",2,"3.61667","49.56667",
2013,"Bozon Charles","SKI","1932-12-15 16:00:00+00:00","CHAMONIX","FR",74,"6.11667","45.9",
2014,"Charlest Regis","SKI","1920-05-04 04:00:00+00:00","CHAMONIX","FR",74,"6.11667","45.9","570SPO"
2015,"Couttet James","SKI","1921-07-06 22:30:00+00:00","CHAMONIX","FR",74,"6.11667","45.9","570SPO"
2016,"Duvillard Adrien","SKI","1934-11-07 11:30:00+00:00","MEGEVE","FR",74,"6.11667","45.9",
2017,"Goitschel Marielle","SKI","1945-09-28 14:15:00-01:00","STE-MAXIME","FR",83,"6.46667","43.53333",
2018,"Killy Jean","SKI","1943-08-30 03:10:00+00:00","ST-CLOUD","FR",92,"2.18333","48.83333",
2019,"Lacroix Desire","SKI","1927-12-18 21:00:00+00:00","BOIS-D'AMONT","FR",39,"5.55","46.66667",
2020,"Le Duc Therese","SKI","1934-01-25 01:00:00+00:00","VENTRON","FR",88,"6.46667","48.16667",
2021,"Panisset Georges","SKI","1929-12-30 12:00:00+00:00","ANNECY","FR",74,"6.11667","45.9",
2022,"Gauquelin-A1-2022","SKI","1920-08-07 09:00:00+00:00","GUILLAUMES","FR",6,"7.26667","43.7","570SPO"
2023,"Penz Claude","SKI","1924-07-23 20:30:00+00:00","GAILLARD","FR",74,"6.11667","45.9","570SPO"
2024,"Perillat Guy","SKI","1940-02-24 16:45:00+00:00","ANNECY","FR",74,"6.11667","45.9",
2025,"Vignole Francois","SKI","1914-07-08 22:00:00+00:00","LAU-BALAGNAS","FR",65,"0.08333","43.23333",
2026,"Viollat Emile","SKI","1937-06-19 11:00:00+00:00","COMBLOUX","FR",74,"6.11667","45.9",
2027,"Bizard Xavier","EQU","1899-01-01 20:20:40+00:00","LILLE","FR",59,"3.08333","50.65","570SPO"
2028,"Buret Maurice","EQU","1909-05-21 15:50:40+00:00","SEVRES","FR",92,"2.18333","48.83333","570SPO"
