slug;wd;fr;en;parents
statistician;Q2732142;Statisticien;Statistician;mathematician
suffragette;Q322170;Suffragette;Suffragette;feminist
swimmer;Q10843402;Nageur;Swimmer;sportsperson
table-tennis-player;Q13382519;Pongiste;Table tennis player;sportsperson
tennis-player;Q10833314;Joueur de tennis;Tennis player;sportsperson
textile-designer;Q18611810;Styliste;Textile designer;
volleyball-player;Q15117302;Joueur de volley-ball;Volleyball player;sportsperson
water-polo-player;Q17524364;Joueur de water-polo;Water polo player;sportsperson
weightlifter;Q13381376;Haltérophile;Weightlifter;sportsperson
winter-sports-practitioner;Q20965770;Pratiquant de sports d’hiver;Winter sports practitionner;sportsperson
wrestler;Q13474373;Lutteur (catch);Wrestler;sportsperson
writer;Q36180;Ecrivain;Writer;
zoologist;Q350979;Zoologiste;Zoologist;scientist
