profession,professionLabel
http://www.wikidata.org/entity/Q10473275,Q10473275
http://www.wikidata.org/entity/Q10474988,Q10474988
http://www.wikidata.org/entity/Q10476883,Q10476883
http://www.wikidata.org/entity/Q10478712,Q10478712
http://www.wikidata.org/entity/Q10481330,Q10481330
http://www.wikidata.org/entity/Q10486827,Q10486827
http://www.wikidata.org/entity/Q10493174,Q10493174
http://www.wikidata.org/entity/Q10493922,Q10493922
http://www.wikidata.org/entity/Q10494302,Q10494302
http://www.wikidata.org/entity/Q10495188,Q10495188
http://www.wikidata.org/entity/Q10495788,Q10495788
http://www.wikidata.org/entity/Q10497028,Q10497028
http://www.wikidata.org/entity/Q10499253,Q10499253
http://www.wikidata.org/entity/Q1050142,Q1050142
http://www.wikidata.org/entity/Q10501673,Q10501673
http://www.wikidata.org/entity/Q10501684,Q10501684
http://www.wikidata.org/entity/Q10501723,Q10501723
http://www.wikidata.org/entity/Q10503256,Q10503256
http://www.wikidata.org/entity/Q10504560,Q10504560
http://www.wikidata.org/entity/Q10509039,Q10509039
http://www.wikidata.org/entity/Q10511397,Q10511397
http://www.wikidata.org/entity/Q10517083,Q10517083
http://www.wikidata.org/entity/Q10517163,Q10517163
http://www.wikidata.org/entity/Q10524313,Q10524313
http://www.wikidata.org/entity/Q10526876,Q10526876
http://www.wikidata.org/entity/Q10531866,Q10531866
http://www.wikidata.org/entity/Q10535290,Q10535290
http://www.wikidata.org/entity/Q10535387,Q10535387
http://www.wikidata.org/entity/Q10535700,Q10535700
http://www.wikidata.org/entity/Q10536056,Q10536056
http://www.wikidata.org/entity/Q10539369,Q10539369
http://www.wikidata.org/entity/Q10542679,Q10542679
http://www.wikidata.org/entity/Q10547479,Q10547479
http://www.wikidata.org/entity/Q10547536,Q10547536
http://www.wikidata.org/entity/Q10548612,Q10548612
http://www.wikidata.org/entity/Q10549488,Q10549488
http://www.wikidata.org/entity/Q10549490,Q10549490
http://www.wikidata.org/entity/Q10549491,Q10549491
http://www.wikidata.org/entity/Q10549958,Q10549958
http://www.wikidata.org/entity/Q10550662,Q10550662
http://www.wikidata.org/entity/Q10551494,Q10551494
http://www.wikidata.org/entity/Q10551507,Q10551507
http://www.wikidata.org/entity/Q10552260,Q10552260
http://www.wikidata.org/entity/Q10553257,Q10553257
http://www.wikidata.org/entity/Q10553857,Q10553857
http://www.wikidata.org/entity/Q10556752,Q10556752
http://www.wikidata.org/entity/Q10568472,Q10568472
http://www.wikidata.org/entity/Q10568847,Q10568847
http://www.wikidata.org/entity/Q10571929,Q10571929
http://www.wikidata.org/entity/Q10579227,Q10579227
http://www.wikidata.org/entity/Q10585198,Q10585198
http://www.wikidata.org/entity/Q10585342,Q10585342
http://www.wikidata.org/entity/Q10605056,Q10605056
http://www.wikidata.org/entity/Q10611691,Q10611691
http://www.wikidata.org/entity/Q10632369,Q10632369
http://www.wikidata.org/entity/Q10632818,Q10632818
http://www.wikidata.org/entity/Q10634615,Q10634615
http://www.wikidata.org/entity/Q10639782,Q10639782
http://www.wikidata.org/entity/Q10645244,Q10645244
http://www.wikidata.org/entity/Q10650234,Q10650234
http://www.wikidata.org/entity/Q10650255,Q10650255
http://www.wikidata.org/entity/Q10650268,Q10650268
http://www.wikidata.org/entity/Q10651584,Q10651584
http://www.wikidata.org/entity/Q10654956,Q10654956
http://www.wikidata.org/entity/Q10654957,Q10654957
http://www.wikidata.org/entity/Q10656306,Q10656306
http://www.wikidata.org/entity/Q10658390,Q10658390
http://www.wikidata.org/entity/Q10658504,Q10658504
http://www.wikidata.org/entity/Q10658992,Q10658992
http://www.wikidata.org/entity/Q10659168,Q10659168
http://www.wikidata.org/entity/Q10660916,Q10660916
http://www.wikidata.org/entity/Q10663154,Q10663154
http://www.wikidata.org/entity/Q10670300,Q10670300
http://www.wikidata.org/entity/Q10670358,Q10670358
http://www.wikidata.org/entity/Q10670403,Q10670403
http://www.wikidata.org/entity/Q10670413,Q10670413
http://www.wikidata.org/entity/Q10670820,Q10670820
http://www.wikidata.org/entity/Q10673323,Q10673323
http://www.wikidata.org/entity/Q10673861,Q10673861
http://www.wikidata.org/entity/Q10676643,Q10676643
http://www.wikidata.org/entity/Q10677195,Q10677195
http://www.wikidata.org/entity/Q10677242,Q10677242
http://www.wikidata.org/entity/Q10682326,Q10682326
http://www.wikidata.org/entity/Q10682389,Q10682389
http://www.wikidata.org/entity/Q10684100,Q10684100
http://www.wikidata.org/entity/Q10690325,Q10690325
http://www.wikidata.org/entity/Q10691685,Q10691685
http://www.wikidata.org/entity/Q1069239,Q1069239
http://www.wikidata.org/entity/Q1069258,Q1069258
http://www.wikidata.org/entity/Q1069288,Q1069288
http://www.wikidata.org/entity/Q10693543,Q10693543
http://www.wikidata.org/entity/Q1069387,Q1069387
http://www.wikidata.org/entity/Q10694572,Q10694572
http://www.wikidata.org/entity/Q10694580,Q10694580
http://www.wikidata.org/entity/Q1069634,Q1069634
http://www.wikidata.org/entity/Q10697333,Q10697333
http://www.wikidata.org/entity/Q10697739,Q10697739
http://www.wikidata.org/entity/Q10701028,Q10701028
http://www.wikidata.org/entity/Q10708074,Q10708074
http://www.wikidata.org/entity/Q10708085,Q10708085
http://www.wikidata.org/entity/Q10709390,Q10709390
http://www.wikidata.org/entity/Q10709550,Q10709550
http://www.wikidata.org/entity/Q10709863,Q10709863
http://www.wikidata.org/entity/Q10709872,Q10709872
http://www.wikidata.org/entity/Q10711579,Q10711579
http://www.wikidata.org/entity/Q10713987,Q10713987
http://www.wikidata.org/entity/Q10715196,Q10715196
http://www.wikidata.org/entity/Q10715997,Q10715997
http://www.wikidata.org/entity/Q10716999,Q10716999
http://www.wikidata.org/entity/Q10717230,Q10717230
http://www.wikidata.org/entity/Q10717457,Q10717457
http://www.wikidata.org/entity/Q1072371,Q1072371
http://www.wikidata.org/entity/Q10723763,Q10723763
