82M Calitri, Antonio;1875;06;07;00;46;-0,83;Panni FG;41,6;-15,5
83M Calzini, Raffaele;1885;12;29;08;45;-0,83;Milano MI;45,5;-9,25
84M Cammelli, Giuseppe;1890;03;15;06;15;-0,83;Firenze FI;43,7;-11,5
88M Caniglia, Giuseppe;1881;12;22;16;00;-0,83;Bari BA;41,2;-17
90M Cantoni, Remo;1914;10;14;04;00;-1;Milano MI;45,5;-9,25
91M Capasso, Aldo;1909;08;13;00;30;-1;Venezia VE;45,5;-12,5
92M Capitini, Aldo;1899;12;23;23;00;-1;Perugia PG;43;-13
94M Capruzzi, Vincenzo;1895;07;30;06;00;-1;Bari BA;41,2;-17
95M Cardarelli, Vincenzo;1887;05;01;11;00;-0,83;Tarquinia VT;42,4;-12
96M Cardone, Domenico Antonio;1902;01;21;15;15;-1;Palmi RC;38,1;-15,5
97M Carletti, Ercole;1877;11;06;21;30;-0,83;Udine UD;46;-13,5
99M Carocci, Alberta;1904;11;03;00;30;-1;Firenze FI;43,7;-11,5
100M Cartella, Gelardi Giuseppe;1885;09;01;03;00;-0,88;Messina ME;38;-15,5
101M Casella, Alberta;1891;11;01;09;00;-0,83;Prate FI;43,7;-11,5
103M Cavacchioli, Enrico;1885;03;15;09;15;-0,88;Pozzallo RG;37;-14,75
105M Cavaliers, Alberta;1897;10;19;05;30;-1;Cittanova RC;38,1;-15,5
106M Cazzamini-Mussi, Francesco;1888;04;18;15;00;-0,83;Milano MI;45,5;-9,25
107M Cecchi, Emilio;1884;07;14;13;00;-0,83;Firenze FI;43,7;-11,5
109M Cerio, Edwin;1875;06;28;19;10;-0,83;Capri NA;40,9;-14
110M Cerlesi, Ennio;1901;01;21;02;30;-1;Torino TO;45;-8
111M Cervioni, Carlo;1886;05;20;10;08;-0,83;Teramo TE;42,7;-14
112M Chiapparini, Giovanni;1886;01;15;07;00;-0,83;Faenza RA;44,4;-12,25
115M Chini, Mario;1876;07;21;04;20;-0,83;Borgo s. Lorenzo FI;43,7;-11,5
117M Ciampini, Raffaelo;1895;04;08;22;15;-1;Pistoia PT;44;-11,25
119M Cicognani, Bruno;1879;09;10;23;30;-0,83;Firenze FI;43,7;-11,5
120M Cinti, Decio;1878;08;10;12;30;-0,83;Forli FO;44,2;-12,5
121M Ciraolo, Giovanni;1873;05;24;19;00;-0,83;Reggio Calabria RC;38,1;-15,5
122M Cittadini, Armando;1882;06;12;07;30;-0,83;Assisi PG;43;-13
123M Civinini, Guelfo;1873;08;03;13;30;-0,83;Livorno LI;43,6;-9,5
125M Comanducci, Agostino Mario;1891;09;13;00;30;-0,83;San Sepolcro   AR;43,5;-12
126M Comisso, Giovanni;1895;10;03;20;20;-1;Treviso TV;45,6;-12,75
127M Conti, Guide;1906;06;29;03;30;-1;Legnano MI;45,5;-9,25
128M Contu, Raffaele;1895;03;18;03;30;-1;Tortoli NU;40,3;-10
130M Cornali, Luigi;1895;12;10;22;00;-1;Bergamo BG;45,6;-9,75
133M Correa d'Oliveira, Emanuele;1887;05;12;12;25;-0,83;Pisa PI;43,7;-10,5
134M Corsi, Neri Lamberto F.;1896;12;29;16;10;-1;Capestrano AQ;42,4;-13,5
136M Cozzani, Ettore;1884;01;03;15;30;-0,83;La Spezia SP;44;-10,25
